"path"|"action"|"sdk"|"service"|"target"|"description"
"https://docs.aws.amazon.com/sdk-for-php/v3/developer-guide/sns-examples-managing-topics.html#get-topic-attributes"|"GetTopicAttributes"|"php"|"sns"|"guide"|"This code example displays the properties of an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-php/v3/developer-guide/sns-examples-managing-topics.html#list-your-topics"|"ListTopics"|"php"|"sns"|"guide"|"This code example displays information about your Amazon SNS topics."
"https://docs.aws.amazon.com/sdk-for-php/v3/developer-guide/sns-examples-managing-topics.html#set-topic-attributes"|"SetTopicAttributes"|"php"|"sns"|"guide"|"This code example set a property of an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-php/v3/developer-guide/sns-examples.html"|"section"|"php"|"sns"|"guide"|"This section contains code examples for Amazon SNS using version 3 of the AWS SDK for PHP."
"https://docs.aws.amazon.com/sdk-for-ruby/v3/developer-guide/sns-example-create-subscription.html"|"Subscribe"|"rb"|"sns"|"guide"|"This code example subscribes a user, by email address, to an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-ruby/v3/developer-guide/sns-example-create-topic.html"|"CreateTopic"|"rb"|"sns"|"guide"|"This code example creates an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-ruby/v3/developer-guide/sns-example-enable-resource.html"|"SetSMSAttributes"|"rb"|"sns"|"guide"|"This code example enables a resource to publish to an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-ruby/v3/developer-guide/sns-example-send-message.html"|"Publish"|"rb"|"sns"|"guide"|"This code example publishes a message to an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-ruby/v3/developer-guide/sns-example-show-subscriptions.html"|"ListSubscriptions"|"rb"|"sns"|"guide"|"This code example display the email addresses of the Amazon SNS subscriptions for an Amazon SNS topic."
"https://docs.aws.amazon.com/sdk-for-ruby/v3/developer-guide/sns-example-show-topics.html"|"ListTopics"|"rb"|"sns"|"guide"|"This code example displays the ARNs of your Amazon SNS topics."
"https://docs.aws.amazon.com/sdk-for-ruby/v3/developer-guide/sns-examples.html"|"section"|"rb"|"sns"|"guide"|"This section contains code examples for Amazon SNS using version 3 of the AWS SDK for Ruby."
